Player;Pos;Squad
Ritsu Doan;W;Arminia
Ji Dong-won;FW;Mainz 05
Bas Dost;FW;Eintracht Frankfurt
Aleksandar Dragović;CB;Leverkusen
Dominick Drexler;AM;Köln
Ondrej Duda;FW;Köln
Erik Durm;FB;Eintracht Frankfurt
Johannes Eggestein;FW;Werder Bremen
Maximilian Eggestein;CM;Werder Bremen
Lilian Egloff;AM;Stuttgart
Kingsley Ehizibue;FB;Köln
Nico Elvedi;CB;Mönchengladbach
Breel Embolo;W;Mönchengladbach
Keita Endo;W;Union Berlin
Wataru Endo;MF;Stuttgart
Patrick Erras;FWMF;Werder Bremen
Ralf Fährmann;GK;Schalke 04
Ohis Felix Uduokhai;DF;Augsburg
Edimilson Fernandes;MFDF;Mainz 05
Alfreð Finnbogason;FW;Augsburg
Mark Flekken;GK;Freiburg
Florian Flick;MF;Schalke 04
Emil Forsberg;FWMF;RB Leipzig
Philipp Förster;FWMF;Stuttgart
Timothy Fosu-Mensah;DF;Leverkusen
Raphael Framberger;DF;Augsburg
Marco Friedl;DF;Werder Bremen
Marvin Friedrich;DF;Union Berlin
Jeremie Frimpong;DFFW;Leverkusen
Niclas Füllkrug;FWMF;Werder Bremen
Mijat Gaćinović;DFMF;Hoffenheim
Christian Gebauer;MFFW;Arminia
Theodor Gebre Selassie;DF;Werder Bremen
Emrehan Gedikli;FW;Leverkusen
Dennis Geiger;MF;Hoffenheim
Christian Gentner;MF;Union Berlin
Yannick Gerhardt;MFFW;Wolfsburg
Hamadi Al Ghaddioui;FWMF;Stuttgart
Niko Gießelmann;DF;Union Berlin
Rafał Gikiewicz;GK;Augsburg
Daniel Ginczek;FWMF;Wolfsburg
Matthias Ginter;DF;Mönchengladbach
Robert Glatzel;FW;Mainz 05
Serge Gnabry;FWMF;Bayern Munich
Akaki Gogia;FW;Union Berlin
Nicolás González;FWDF;Stuttgart
Leon Goretzka;MF;Bayern Munich
Jeffrey Gouweleeuw;DF;Augsburg
Demarai Gray;FW;Leverkusen
Michael Gregoritsch;FWMF;Augsburg
Sebastian Griesbeck;MF;Union Berlin
Vincenzo Grifo;MFFW;Freiburg
Lennart Grill;GK;Leverkusen
Florian Grillitsch;MFDF;Hoffenheim
Christian Groß;MFDF;Werder Bremen
Ilia Gruev;FW;Werder Bremen
Carlos Gruezo;MF;Augsburg
Mattéo Guendouzi;MF;Hertha BSC
Raphaël Guerreiro;DF;Dortmund
Josuha Guilavogui;MFDF;Wolfsburg
Péter Gulácsi;GK;RB Leipzig
Manuel Gulde;DF;Freiburg
Robert Gumny;DF;Augsburg
Christian Günter;DF;Freiburg
Erling Haaland;FW;Dortmund
Janik Haberer;MFFW;Freiburg
Alexander Hack;DF;Mainz 05
André Hahn;FWMF;Augsburg
Amadou Haidara;MFDF;RB Leipzig
Marcel Halstenberg;DF;RB Leipzig
Amine Harit;MFFW;Schalke 04
Marcel Hartel;MF;Arminia
Makoto Hasebe;DFMF;Eintracht Frankfurt
Thorgan Hazard;FWMF;Dortmund
Jonas Hector;MF;Köln
Hwang Hee-chan;FWMF;RB Leipzig
Dominique Heintz;DF;Freiburg
Benjamin Henrichs;DFMF;RB Leipzig
Lucas Hernández;DF;Bayern Munich
Patrick Herrmann;FW;Mönchengladbach
Martin Hinteregger;DF;Eintracht Frankfurt
Marwin Hitz;GK;Dortmund
Nicolas Höfler;MF;Freiburg
Jonas Hofmann;FWMF;Mönchengladbach
Marco Höger;DF;Köln
Lucas Höler;FWMF;Freiburg
Matthew Hoppe;FW;Schalke 04
Jannes Horn;DF;Köln
Timo Horn;GK;Köln
Lukáš Hrádecký;GK;Leverkusen
Ajdin Hrustic;MFFW;Eintracht Frankfurt
Florian Hübner;DF;Union Berlin
Mats Hummels;DF;Dortmund
Klaas-Jan Huntelaar;FW;Schalke 04
Iago;DF;Augsburg
Vedad Ibišević;FW;Schalke 04
Blendi Idrizi;MF;Schalke 04
Stefan Ilsanker;MFDF;Eintracht Frankfurt
Marcus Ingvartsen;MFFW;Union Berlin
Ismail Jakobs;DFMF;Köln
Tony Jantschke;DF;Mönchengladbach
Rune Jarstein;GK;Hertha BSC
Tin Jedvaj;DF;Leverkusen
Fredrik Jensen;FWMF;Augsburg
Marco John;DF;Hoffenheim
Luka Jović;FWMF;Eintracht Frankfurt
Ozan Kabak;DF;Schalke 04
Pavel Kadeřábek;DF;Hoffenheim
Florian Kainz;FWMF;Köln
Sasa Kalajdzic;FW;Stuttgart
Daichi Kamada;MFFW;Eintracht Frankfurt
Marcin Kamiński;DF;Stuttgart
Kevin Kampl;MF;RB Leipzig
Jimmy Kaparos;MF;Schalke 04
Atakan Karazor;DFMF;Stuttgart
Loris Karius;GK;Union Berlin
Noah Katterbach;DF;Köln
Yannik Keitel;MF;Freiburg
Marc-Oliver Kempf;DF;Stuttgart
Rani Khedira;MF;Augsburg
Sami Khedira;MF;Hertha BSC
Luca Kilian;DF;Mainz 05
Joshua Kimmich;MF;Bayern Munich
Davy Klaassen;MF;Werder Bremen
Felix Klaus;DFMF;Wolfsburg
Klauss;FW;Hoffenheim
Philipp Klement;MFFW;Stuttgart
Mateo Klimowicz;FWMF;Stuttgart
Fabian Klos;FW;Arminia
Lukas Klostermann;DF;RB Leipzig
Justin Kluivert;FW;RB Leipzig
Lukas Klünter;DF;Hertha BSC
Ansgar Knauff;FWMF;Dortmund
Robin Knoche;DF;Union Berlin
Gregor Kobel;GK;Stuttgart
Dominik Kohr;MF;Mainz 05
Dominik Kohr;MFFW;Eintracht Frankfurt
Sead Kolašinac;DFMF;Schalke 04
Ibrahima Konaté;DF;RB Leipzig
Filip Kostić;DF;Eintracht Frankfurt
Nianzou Kouassi;DFMF;Bayern Munich
Andrej Kramarić;FWMF;Hoffenheim
Christoph Kramer;MF;Mönchengladbach
Max Kruse;FWMF;Union Berlin
Lukas Kübler;DF;Freiburg
Pierre Kunde;MF;Mainz 05
Fabian Kunze;MF;Arminia
Ahmed Kutucu;FWMF;Schalke 04
Maxence Lacroix;DF;Wolfsburg
Konrad Laimer;DFFW;RB Leipzig
Stefan Lainer;DF;Mönchengladbach
Michael Langer;GK;Schalke 04
Danny Latza;MF;Mainz 05
Valentino Lazaro;DFFW;Mönchengladbach
Mathew Leckie;FWDF;Hertha BSC
Christopher Lenz;DF;Union Berlin
Robert Lewandowski;FW;Bayern Munich
Philipp Lienhart;DF;Freiburg
Dimitris Limnios;MFFW;Köln
Niklas Lomb;GK;Leverkusen
Eduard Löwen;MFDF;Hertha BSC
Jan Luca Schuler;FW;Schalke 04
Anderson Lucoqui;DF;Arminia
Kilian Ludewig;DF;Schalke 04
Dodi Lukebakio;FWMF;Hertha BSC
Andreas Luthe;GK;Union Berlin
Tim Maciejewski;MF;Union Berlin
Luca Mack;MF;Stuttgart
Mikail Maden;FW;Schalke 04
Arne Maier;MF;Arminia
Arne Maier;MF;Hertha BSC
Yunus Mallı;MF;Wolfsburg
Orel Mangala;MF;Stuttgart
Omar Marmoush;FW;Wolfsburg
Aarón Martín;DF;Mainz 05
Javi Martínez;DFMF;Bayern Munich
Josep Martinez;GK;RB Leipzig
Omar Mascarell;MF;Schalke 04
Roberto Massimo;DFFW;Stuttgart
Jean-Philippe Mateta;FW;Mainz 05
Rabbi Matondo;FWMF;Schalke 04
Henning Matriciani;DF;Schalke 04
Konstantinos Mavropanos;DF;Stuttgart
Eric Maxim Choupo-Moting;FWMF;Bayern Munich
Kevin Mbabu;DF;Wolfsburg
Jean-Manuel Mbom;MFDF;Werder Bremen
Nathan de Medina;DF;Arminia
Joshua Mees;FW;Union Berlin
Admir Mehmedi;MFFW;Wolfsburg
Hamza Mendyl;FW;Schalke 04
Levent Mercan;FW;Schalke 04
Jorge Meré;DF;Köln
Thomas Meunier;DF;Dortmund
Max Meyer;MF;Köln
Jonas Michel Dirkner;MF;Hertha BSC
Jonas Michelbrink;MF;Hertha BSC
Maximilian Mittelstädt;DF;Hertha BSC
Anthony Modeste;FWMF;Köln
Kevin Möhwald;MF;Werder Bremen
Niklas Moisander;DF;Werder Bremen
Alkhaly Momo Cissé;DFFW;Stuttgart
Jan Morávek;MF;Augsburg
Mateu Morey;DF;Dortmund
Youssoufa Moukoko;FWMF;Dortmund
Nordi Mukiele;DF;RB Leipzig
Florian Müller;GK;Freiburg
Sebastian Müller;MFDF;Arminia
Thomas Müller;MF;Bayern Munich
Petar Musa;FW;Union Berlin
Jamal Musiala;FWMF;Bayern Munich
Shkodran Mustafi;DF;Schalke 04
Phillipp Mwene;DF;Mainz 05
Obite N'Dicka;DF;Eintracht Frankfurt
Matija Nastasić;DF;Schalke 04
Paul Nebel;MF;Mainz 05
Luca Netz;DF;Hertha BSC
Manuel Neuer;GK;Bayern Munich
Florian Neuhaus;MF;Mönchengladbach
Jessic Ngankam;FW;Hertha BSC
Moussa Niakhate;DF;Mainz 05
Florian Niederlechner;FW;Augsburg
Joakim Nilsson;DF;Arminia
Christopher Nkunku;FWMF;RB Leipzig
Håvard Nordtveit;DF;Hoffenheim
Alexander Nübel;GK;Bayern Munich
Kasim Nuhu;DF;Hoffenheim
Bastian Oczipka;DF;Schalke 04
Masaya Okugawa;MF;Arminia
Dani Olmo;MFFW;RB Leipzig
Karim Onisiwo;FW;Mainz 05
Willi Orban;DF;RB Leipzig
Stefan Ortega;GK;Arminia
Yuya Osako;MFFW;Werder Bremen
Paulo Otávio;DF;Wolfsburg
Reece Oxford;DF;Augsburg
Salih Özcan;MF;Köln
Levin Öztunalı;DFFW;Mainz 05
Gonçalo Paciência;FW;Schalke 04
Exequiel Palacios;MF;Leverkusen
Matondo-Merveille Papela;DF;Mainz 05
Felix Passlack;DF;Dortmund
Paulinho;FW;Leverkusen
Benjamin Pavard;DF;Bayern Munich
Jiří Pavlenka;GK;Werder Bremen
Vasileios Pavlidis;FW;Schalke 04
Mads Pedersen;DF;Augsburg
Peter Pekarík;DF;Hertha BSC
Philipp Pentke;GK;Hoffenheim
Pavao Pervan;GK;Wolfsburg
Nils Petersen;FW;Freiburg
Lukas Petkov;MF;Augsburg
Maximilian Philipp;MF;Wolfsburg
Krzysztof Piątek;FW;Hertha BSC
Amos Pieper;DF;Arminia
Łukasz Piszczek;DF;Dortmund
Marvin Plattenhardt;DF;Hertha BSC
Alassane Pléa;FW;Mönchengladbach
Joel Pohjanpalo;FW;Union Berlin
Joel Pohjanpalo;MF;Leverkusen
Marin Pongračić;DF;Wolfsburg
Stefan Posch;DF;Hoffenheim
Yussuf Poulsen;FW;RB Leipzig
Manuel Prietl;MF;Arminia
Grischa Prömel;MF;Union Berlin
Robin Quaison;FWMF;Mainz 05
Nemanja Radonjić;FWDF;Hertha BSC
Benito Raman;FWMF;Schalke 04
Milot Rashica;FWMF;Werder Bremen
Daishawn Redan;FWMF;Hertha BSC
Reinier;MFFW;Dortmund
Rocco Reitz;MF;Mönchengladbach
Marco Reus;MFFW;Dortmund
Elvis Rexhbeçaj;MFFW;Köln
Gio Reyna;FWMF;Dortmund
Chris Richards;DF;Hoffenheim
Chris Richards;DF;Bayern Munich
Marco Richter;FWMF;Augsburg
Marc Roca;MF;Bayern Munich
Sebastian Rode;MF;Eintracht Frankfurt
Jérôme Roussillon;DF;Wolfsburg
Sebastian Rudy;MFDF;Hoffenheim
Sebastian Rudy;DF;Schalke 04
Georginio Rutter;FW;Hoffenheim
Julian Ryerson;DFMF;Union Berlin
Frederik Rønnow;GK;Schalke 04
João Victor Santos Sá;FW;Wolfsburg
Marcel Sabitzer;MF;RB Leipzig
Roland Sallai;MFFW;Freiburg
Lazar Samardzic;MFFW;RB Leipzig
Diadie Samassékou;MF;Hoffenheim
Jadon Sancho;FWMF;Dortmund
Leroy Sané;FWMF;Bayern Munich
Salif Sané;DF;Schalke 04
Mohamed Sankoh;FW;Stuttgart
Baptiste Santamaria;MF;Freiburg
Josh Sargent;FWMF;Werder Bremen
Bouna Sarr;DF;Bayern Munich
Patrik Schick;FW;Leverkusen
Sven Schipplock;FWMF;Arminia
Xaver Schlager;MF;Wolfsburg
Keven Schlotterbeck;DF;Freiburg
Nico Schlotterbeck;DF;Union Berlin
Jonathan Schmid;DFMF;Freiburg
Romano Schmid;FWMF;Werder Bremen
Benno Schmitz;DF;Köln
Alessandro Schöpf;FWMF;Schalke 04
Nico Schulz;DF;Dortmund
Alexander Schwolow;GK;Hertha BSC
Christopher Scott;FWMF;Bayern Munich
Davie Selke;FW;Werder Bremen
Suat Serdar;MF;Schalke 04
Ryan Sessegnon;DF;Hoffenheim
Nils Seufert;MFFW;Arminia
Tim Siersleben;DF;Wolfsburg
André Silva;FW;Eintracht Frankfurt
Jóan Símun Edmundsson;MFFW;Arminia
Daley Sinkgraven;DF;Leverkusen
Tobias Sippel;GK;Mönchengladbach
Ellyes Skhiri;MF;Köln
Robert Skov;FWDF;Hoffenheim
Steven Skrzybski;FWDF;Schalke 04
Yann Sommer;GK;Mönchengladbach
Borna Sosa;DF;Stuttgart
Cebio Soukou;FWMF;Arminia
Djibril Sow;MF;Eintracht Frankfurt
Jerry St. Juste;DF;Mainz 05
Benjamin Stambouli;MFDF;Schalke 04
Josip Stanišić;DF;Bayern Munich
Niklas Stark;DFMF;Hertha BSC
Renato Steffen;FWMF;Wolfsburg
Pascal Stenzel;DF;Stuttgart
Lars Stindl;MFFW;Mönchengladbach
Kevin Stöger;MFFW;Mainz 05
Tobias Strobl;MF;Augsburg
Marek Suchý;DF;Augsburg
Niklas Süle;DF;Bayern Munich
Ádám Szalai;FW;Mainz 05
Frederik Sørensen;DF;Köln
Alexander Sørloth;FW;RB Leipzig
Jonathan Tah;DF;Leverkusen
Edmond Tapsoba;DF;Leverkusen
Niklas Tauer;MFDF;Mainz 05
Lino Tempelmann;MFDF;Freiburg
Cedric Teuchert;FWMF;Union Berlin
Malick Thiaw;DF;Schalke 04
Jan Thielmann;FWMF;Köln
Erik Thommy;DFFW;Stuttgart
Marcus Thuram;FW;Mönchengladbach
Steffen Tigges;FW;Dortmund
Guus Til;FW;Freiburg
Corentin Tolisso;MF;Bayern Munich
Ömer Toprak;DF;Werder Bremen
Jordan Torunarigha;DF;Hertha BSC
Almamy Touré;DF;Eintracht Frankfurt
Lucas Tousart;MF;Hertha BSC
Ibrahima Traoré;FWDF;Mönchengladbach
Kevin Trapp;GK;Eintracht Frankfurt
Christopher Trimmel;DF;Union Berlin
Tuta;DF;Eintracht Frankfurt
Dayot Upamecano;DF;RB Leipzig
Mark Uth;FWMF;Schalke 04
Ruben Vargas;MFFW;Augsburg
Miloš Veljković;DF;Werder Bremen
Michel Vlap;MFFW;Arminia
Andreas Voglsammer;FWMF;Arminia
Kevin Vogt;DF;Hoffenheim
Silas Wamangituka;DFFW;Stuttgart
Wout Weghorst;FW;Wolfsburg
Mitchell Weiser;DF;Leverkusen
Wendell;DF;Leverkusen
Oscar Wendt;DF;Mönchengladbach
William;FW;Wolfsburg
William;DFFW;Schalke 04
Marten Winkler;FW;Hertha BSC
Florian Wirtz;MF;Leverkusen
Axel Witsel;MF;Dortmund
Hannes Wolf;MFFW;Mönchengladbach
Marius Wolf;DFMF;Köln
Nick Woltemade;MFFW;Werder Bremen
Jeong Woo-yeong;FWMF;Freiburg
Joscha Wosz;DFFW;RB Leipzig
Reinhold Yabo;MFFW;Arminia
Amin Younes;MFFW;Eintracht Frankfurt
Dan-Axel Zagadou;DF;Dortmund
Denis Zakaria;MFDF;Mönchengladbach
Deyovaisio Zeefuik;DFMF;Hertha BSC
Robin Zentner;GK;Mainz 05
Ron-Robert Zieler;GK;Köln
Joshua Zirkzee;FW;Bayern Munich
Steven Zuber;DFMF;Eintracht Frankfurt
